indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
"130,728",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,1,Bronx,2005,2.8
"130,729",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,2,Brooklyn,2005,2.8
"130,730",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,3,Manhattan,2005,4.7
"130,731",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,4,Queens,2005,1.9
"130,732",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,5,Staten Island,2005,1.6
"130,727",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Citywide,1,New York City,2005,2.9
"130,685",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,101,Kingsbridge - Riverdale,2005,2.9
"130,686",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,102,Northeast Bronx,2005,2.8
"130,687",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,103,Fordham - Bronx Pk,2005,2.7
"130,688",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,104,Pelham - Throgs Neck,2005,2.7
"130,689",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,105,Crotona -Tremont,2005,3
"130,690",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,106,High Bridge - Morrisania,2005,3
"130,691",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,107,Hunts Point - Mott Haven,2005,2.8
"130,692",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,201,Greenpoint,2005,3.7
"130,693",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,202,Downtown - Heights - Slope,2005,3.7
"130,694",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2.5
"130,695",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,204,East New York,2005,2.3
"130,696",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,205,Sunset Park,2005,3.2
"130,697",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,206,Borough Park,2005,2.5
"130,698",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,207,East Flatbush - Flatbush,2005,2.3
"130,699",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,208,Canarsie - Flatlands,2005,2.4
"130,700",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,209,Bensonhurst - Bay Ridge,2005,2.8
"130,701",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,210,Coney Island - Sheepshead Bay,2005,2.4
"130,702",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,211,Williamsburg - Bushwick,2005,2.8
"130,703",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,301,Washington Heights,2005,4.1
"130,704",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,302,Central Harlem - Morningside Heights,2005,3.9
"130,705",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,303,East Harlem,2005,4.2
"130,706",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,304,Upper West Side,2005,3.9
"130,707",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,305,Upper East Side,2005,4.5
"130,708",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,306,Chelsea - Clinton,2005,4.9
"130,709",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,307,Gramercy Park - Murray Hill,2005,5.3
"130,710",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,308,Greenwich Village - SoHo,2005,4.7
"130,711",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,309,Union Square - Lower East Side,2005,5
"130,712",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,310,Lower Manhattan,2005,6.3
"130,713",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,401,Long Island City - Astoria,2005,2.7
"130,714",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,402,West Queens,2005,2.2
"130,715",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,403,Flushing - Clearview,2005,1.9
"130,716",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,404,Bayside - Little Neck,2005,1.9
"130,717",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,405,Ridgewood - Forest Hills,2005,2
"130,718",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,406,Fresh Meadows,2005,1.7
"130,719",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,407,Southwest Queens,2005,1.8
"130,720",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,408,Jamaica,2005,1.8
"130,721",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,409,Southeast Queens,2005,1.8
"130,722",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,410,Rockaways,2005,1.4
"130,723",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,501,Port Richmond,2005,2.5
"130,724",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,502,Stapleton - St. George,2005,1.3
"130,725",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,503,Willowbrook,2005,1.6
"130,726",646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,504,South Beach - Tottenville,2005,1.1
"130,776",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,1,Bronx,2005,3.3
"130,777",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,2,Brooklyn,2005,3
"130,778",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,3,Manhattan,2005,4.3
"130,779",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,4,Queens,2005,2.7
"130,780",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,5,Staten Island,2005,2.3
"130,775",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Citywide,1,New York City,2005,3.2
"130,733",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,101,Kingsbridge - Riverdale,2005,3.2
"130,734",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,102,Northeast Bronx,2005,3.2
"130,735",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,103,Fordham - Bronx Pk,2005,3.2
"130,736",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,104,Pelham - Throgs Neck,2005,3.2
"130,737",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,105,Crotona -Tremont,2005,3.4
"130,738",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,106,High Bridge - Morrisania,2005,3.6
"130,739",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,107,Hunts Point - Mott Haven,2005,3.5
"130,740",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,201,Greenpoint,2005,3.5
"130,741",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,202,Downtown - Heights - Slope,2005,3.2
"130,742",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,3
"130,743",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,204,East New York,2005,2.8
"130,744",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,205,Sunset Park,2005,3.2
"130,745",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,206,Borough Park,2005,2.9
"130,746",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,207,East Flatbush - Flatbush,2005,2.8
"130,747",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,208,Canarsie - Flatlands,2005,2.8
"130,748",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,209,Bensonhurst - Bay Ridge,2005,2.7
"130,749",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,210,Coney Island - Sheepshead Bay,2005,2.5
"130,750",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,211,Williamsburg - Bushwick,2005,3.1
"130,751",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,301,Washington Heights,2005,3.9
"130,752",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,302,Central Harlem - Morningside Heights,2005,4.2
"130,753",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,303,East Harlem,2005,4.2
"130,754",647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,304,Upper West Side,2005,4
